distance_head-head,alignment_head-mouth,alignment_dorsal_back-dorsal_center,angles_head-mouth to head,angles_dorsal_back-dorsal_center to head,angles_head-mouth to dorsal_back,angles_dorsal_back-dorsal_center to dorsal_back,cluster_un15,embedding_un15_x,embedding_un15_y,cluster_un25,embedding_un25_x,embedding_un25_y,cluster_un50,embedding_un50_x,embedding_un50_y,cluster_un100,embedding_un100_x,embedding_un100_y
259.2479439914559,0.4367919072017648,0.490653776475466,2.8204480506707426,2.515420130874632,2.9971787851894005,2.7265841392532977,5,-4.5172687,2.9114857,1,11.964937,5.650534,1,-1.24034,4.889635,5,10.915159,5.2944036
197.81806281447749,0.5990173253588532,0.5916379759562113,2.4254032786420847,2.1420306443192594,2.737797453903823,2.500512521849304,5,-0.30134806,0.7885547,1,9.140702,7.3844724,1,1.3099319,3.3445053,3,8.633603,6.868556
220.401989356188,0.1202929531699355,0.103323412852007,2.8826962393514743,2.7943553045577367,2.727488344257793,2.5889484824783597,4,-6.165363,-2.0041518,0,12.673628,0.6535895,1,-2.0541577,9.218379,6,11.590511,1.2874618
180.08580850063305,0.4612311398790289,0.5269383908945035,2.211849415927749,1.9180786917599493,2.399269739726837,2.0756891384145666,5,0.3645763,0.14614303,1,8.048158,6.260099,1,2.3029242,4.2199354,3,7.640862,5.635656
166.59882569485822,0.477021573484906,0.4865398809109582,2.2804427696308376,1.9818035034049652,2.501378577525573,2.15603272383381,5,0.26506966,-0.034884486,1,8.109417,6.24521,1,2.2400293,4.235171,3,7.757207,5.6764116
338.5317536393867,0.7139945804712278,0.810680657548989,2.004462765138618,2.2871897951823392,2.032341532783415,2.3221453228859192,5,1.8248856,7.512699,1,6.9786124,7.022729,1,0.23829523,0.22860089,4,6.5218205,6.6297016
237.6711580633949,0.6812215540051221,0.669722763221936,2.7285665799817176,2.7288398445267377,2.9168074773583497,2.96030110984277,5,-2.5430589,3.0202901,1,12.024656,7.430167,1,-1.1209201,3.1476974,3,11.066513,6.7090244
320.76859058388123,0.4098990535254858,0.4555176197189375,1.5307413308508844,1.7122677109035374,1.4862156901961086,1.6809282058003914,5,8.965928,8.303079,1,2.7920916,3.9621646,3,6.8342886,5.814099,2,4.296469,4.1100826
284.1897889691592,0.5382188827081175,0.6178497792314098,2.8035581531000573,2.883558462713109,2.950725709618849,3.082643438017388,5,-3.175609,3.2654111,1,12.336643,6.695196,1,-1.3497764,4.065226,5,11.036667,5.7963815
221.06927165453328,0.4621638146811447,0.6203178060939822,2.5521301468254256,2.067423336251331,2.800616954950336,2.331875142406881,5,0.41193083,1.9387399,1,8.689315,6.670972,1,1.4914887,4.0164804,3,8.394788,6.1017156
223.17732807371831,0.9061084039697468,0.9464399788230368,1.4527683932125397,1.1620827986243527,1.7034134767976945,1.3961114830896697,5,6.481241,-0.19037129,1,3.3072147,9.458873,1,6.68926,1.5285306,4,3.703962,8.470269
258.74159320444926,0.5604456340748878,0.5431105784324557,2.40125022078498,2.3550000331982592,2.276693840137538,2.230886104186211,5,0.24316107,3.6550791,1,8.988694,5.0086513,1,0.9953448,4.741973,3,8.783641,5.420377
328.0227330963186,0.4365789566022103,0.4875728319280749,1.620768248606442,1.885309269637582,1.57034432937305,1.8453014509871983,5,2.9899535,13.973911,1,2.1627982,5.02127,1,7.12935,5.5417805,1,5.9699078,3.986649
268.7127045489666,0.1212084001086345,0.0911566887791795,0.4965198085829188,0.2170158718294479,0.4043188939127693,0.137972543295522,2,12.799189,-2.930353,1,-1.3303797,1.4136786,1,10.784785,8.154154,1,-0.110611446,2.0738912
217.67155925338855,0.1435973125276111,0.2483882340077735,2.4539698833215406,2.1655080270785594,2.40940937724573,2.036924900876634,0,-1.3490498,-2.6228235,1,9.536259,1.2068552,0,1.1176635,8.964804,0,8.706554,1.4178357
204.79792807702552,0.776982370803232,0.7965482482325043,1.802095287365904,1.5795565537956373,2.109315143533754,1.8837085063705865,5,4.2855077,0.22736482,1,5.776008,9.6420555,1,4.4736657,1.6770567,3,5.696224,8.532567
292.75094513053403,0.503990962836067,0.4171357284860335,2.926774778936922,3.0372329999745653,3.0003840815039897,3.014442483837391,4,-5.6715837,2.2254257,0,11.99741,4.3182545,1,-1.3984636,5.7892404,5,11.082204,4.6631403
149.5579605068772,0.2804063008285465,0.3715023130553794,3.0599227220492407,2.918598602606281,2.910270367963567,2.9431773319819694,4,-4.086395,-0.7819037,0,14.657786,3.259415,1,-3.5984278,6.6604834,1,13.031544,3.6902604
258.4900256415592,0.4261813776301127,0.4037760220764587,1.4647994206885775,1.1172848712111063,1.464766541169114,1.1388426472537687,2,10.648198,0.64935875,1,1.2627515,3.9384022,3,8.066136,6.1171103,1,2.5240564,3.8664536
233.26531720505147,0.4869071922803685,0.6257904927616287,0.5582251646253384,2.265520907554545,0.29531580043415,2.517332672738531,5,8.98243,5.93629,1,2.8810432,6.5742106,1,4.4204493,5.5627646,4,3.6745706,6.0170994
240.75680146114,0.4231550797604578,0.0638149462075005,1.851115215502309,2.521356759242247,1.858722779032058,2.3635060241193933,5,0.35350597,4.1200547,1,8.4056425,2.7623546,1,2.1376028,7.347202,1,7.6000338,2.5261805
224.67735227258143,0.6709684045590036,0.6604288655361531,2.173289712121382,1.9511059814430072,2.4218502061223783,2.2179729819791807,5,1.7845725,1.3960693,1,8.357183,8.395966,1,2.2498581,2.5196579,3,7.832061,7.50773
243.4915642182092,0.649833409494639,0.8010124166368332,0.7722768819334653,1.0425268357919442,0.984324235588777,1.2399099921477756,5,9.213467,0.5805943,1,0.44013783,6.7205086,3,8.609617,3.7846444,1,1.7345167,6.1550407
275.25498358984373,0.0765012857072776,0.0173280744262032,3.08445855473053,2.987478319246889,3.0463165691747145,2.900768370259177,4,-7.4648013,-0.8347694,0,12.556636,1.6224585,1,-1.8959777,8.508371,6,11.809492,1.9558411
